time, inclination mouse, inclination filtered, inclination sensor, orientation mouse, orientation filtered, orientation sensor
0.00, 6.0000, 5.9700, 5.6864, 10.0000, 9.9500, 7.3311
0.01, 6.0000, 5.9701, 5.8479, 10.0000, 9.9501, 8.6157
0.02, 6.0000, 5.9702, 5.8955, 10.0000, 9.9503, 8.9314
0.02, 6.0000, 5.9702, 5.9707, 10.0000, 9.9504, 9.4295
0.03, 6.0000, 5.9703, 6.0253, 10.0000, 9.9505, 9.7913
0.03, 6.0000, 5.9704, 6.0319, 10.0000, 9.9506, 10.1194
0.04, 6.0000, 5.9705, 6.0376, 10.0000, 9.9508, 10.3990
0.05, 6.0000, 5.9705, 6.0270, 10.0000, 9.9509, 9.3965
0.05, 6.0000, 5.9706, 6.0245, 10.0000, 9.9510, 9.1560
0.06, 6.0000, 5.9707, 6.0505, 10.0000, 9.9511, 9.2083
0.06, 6.0000, 5.9708, 6.0781, 10.0000, 9.9513, 8.9257
0.07, 6.0000, 5.9708, 6.0869, 10.0000, 9.9514, 8.4091
0.07, 6.0000, 5.9709, 6.1169, 10.0000, 9.9515, 8.7539
0.08, 6.0000, 5.9710, 6.1425, 10.0000, 9.9516, 9.0476
0.08, 6.0000, 5.9711, 6.2404, 10.0000, 9.9518, 9.5742
0.09, 6.0000, 5.9711, 6.3115, 10.0000, 9.9519, 9.9565
0.09, 6.0000, 5.9712, 6.3394, 10.0000, 9.9520, 10.1064
0.10, 6.0000, 5.9713, 6.3632, 10.0000, 9.9521, 10.2342
0.11, 6.0000, 5.9713, 6.4649, 10.0000, 9.9522, 10.9380
0.11, 6.0000, 5.9714, 6.4893, 10.0000, 9.9524, 11.1069
0.12, 6.0000, 5.9715, 6.5057, 10.0000, 9.9525, 11.0807
0.12, 6.0000, 5.9716, 6.5196, 10.0000, 9.9526, 11.0584
0.13, 6.0000, 5.9716, 6.4626, 10.0000, 9.9527, 10.7006
0.13, 6.0000, 5.9717, 6.4489, 10.0000, 9.9528, 10.6147
0.14, 6.0000, 5.9718, 6.4372, 10.0000, 9.9529, 10.5416
0.14, 6.0000, 5.9718, 6.3722, 10.0000, 9.9531, 10.2261
0.15, 6.0000, 5.9719, 6.3251, 10.0000, 9.9532, 9.9971
0.15, 6.0000, 5.9720, 6.3243, 10.0000, 9.9533, 9.9413
0.16, 6.0000, 5.9720, 6.3237, 10.0000, 9.9534, 9.8938
0.17, 6.0000, 5.9721, 6.3680, 10.0000, 9.9535, 10.2813
0.17, 6.0000, 5.9722, 6.3787, 10.0000, 9.9536, 10.3743
0.18, 6.0000, 5.9722, 6.3877, 10.0000, 9.9537, 10.4535
0.18, 6.0000, 5.9723, 6.3955, 10.0000, 9.9539, 10.5210
0.19, 6.0000, 5.9724, 6.4239, 10.0000, 9.9540, 11.1384
0.19, 6.0000, 5.9724, 6.4307, 10.0000, 9.9541, 11.2865
0.20, 6.0000, 5.9725, 6.4143, 10.0000, 9.9542, 11.5207
0.20, 6.0000, 5.9726, 6.3767, 10.0000, 9.9543, 11.7498
0.21, 6.0000, 5.9726, 6.3392, 10.0000, 9.9544, 11.7964
0.21, 6.0000, 5.9727, 6.3246, 10.0000, 9.9545, 11.8147
0.22, 6.0000, 5.9728, 6.3120, 10.0000, 9.9546, 11.8303
0.22, 6.0000, 5.9728, 6.3252, 10.0000, 9.9547, 11.6056
0.23, 6.0000, 5.9729, 6.3347, 10.0000, 9.9548, 11.4424
0.24, 6.0000, 5.9730, 6.3902, 10.0000, 9.9549, 11.1699
0.24, 6.0000, 5.9730, 6.4375, 10.0000, 9.9550, 10.9377
0.25, 6.0000, 5.9731, 6.6215, 10.0000, 9.9551, 10.9615
